local,parameter,value,season,month,hour
2017-03-11 16:00:00+05:45,pm25,25.3,spring,3,16
2017-03-11 17:00:00+05:45,pm25,24.1,spring,3,17
2017-03-11 18:00:00+05:45,pm25,26.5,spring,3,18
2017-03-11 19:00:00+05:45,pm25,27.7,spring,3,19
2017-03-11 20:00:00+05:45,pm25,27.8,spring,3,20
2017-03-11 21:00:00+05:45,pm25,23.9,spring,3,21
2017-03-11 22:00:00+05:45,pm25,27.6,spring,3,22
2017-03-11 23:00:00+05:45,pm25,30.7,spring,3,23
2017-03-12 00:00:00+05:45,pm25,36.4,spring,3,0
2017-03-12 01:00:00+05:45,pm25,31.7,spring,3,1
2017-03-12 03:00:00+05:45,pm25,19.8,spring,3,3
2017-03-12 04:00:00+05:45,pm25,13.7,spring,3,4
2017-03-12 05:00:00+05:45,pm25,12.3,spring,3,5
2017-03-12 06:00:00+05:45,pm25,17.1,spring,3,6
2017-03-12 07:00:00+05:45,pm25,24.0,spring,3,7
2017-03-12 08:00:00+05:45,pm25,30.5,spring,3,8
2017-03-12 09:00:00+05:45,pm25,30.5,spring,3,9
2017-03-12 10:00:00+05:45,pm25,32.7,spring,3,10
2017-03-12 11:00:00+05:45,pm25,34.9,spring,3,11
2017-03-12 12:00:00+05:45,pm25,32.8,spring,3,12
2017-03-12 13:00:00+05:45,pm25,29.3,spring,3,13
2017-03-12 14:00:00+05:45,pm25,27.1,spring,3,14
2017-03-12 15:00:00+05:45,pm25,24.0,spring,3,15
2017-03-12 16:00:00+05:45,pm25,23.0,spring,3,16
2017-03-12 17:00:00+05:45,pm25,23.7,spring,3,17
2017-03-12 18:00:00+05:45,pm25,25.5,spring,3,18
2017-03-12 19:00:00+05:45,pm25,29.2,spring,3,19
2017-03-12 20:00:00+05:45,pm25,34.5,spring,3,20
2017-03-12 21:00:00+05:45,pm25,37.1,spring,3,21
2017-03-12 22:00:00+05:45,pm25,41.7,spring,3,22
2017-03-12 23:00:00+05:45,pm25,47.8,spring,3,23
2017-03-13 00:00:00+05:45,pm25,42.9,spring,3,0
2017-03-13 01:00:00+05:45,pm25,44.4,spring,3,1
2017-03-13 02:00:00+05:45,pm25,50.2,spring,3,2
2017-03-13 03:00:00+05:45,pm25,47.1,spring,3,3
2017-03-13 04:00:00+05:45,pm25,45.5,spring,3,4
2017-03-13 05:00:00+05:45,pm25,46.7,spring,3,5
2017-03-13 06:00:00+05:45,pm25,60.3,spring,3,6
2017-03-13 07:00:00+05:45,pm25,85.2,spring,3,7
2017-03-13 08:00:00+05:45,pm25,96.1,spring,3,8
2017-03-13 09:00:00+05:45,pm25,100.0,spring,3,9
2017-03-13 10:00:00+05:45,pm25,100.0,spring,3,10
2017-03-13 11:00:00+05:45,pm25,67.3,spring,3,11
2017-03-13 12:00:00+05:45,pm25,51.1,spring,3,12
2017-03-13 13:00:00+05:45,pm25,37.7,spring,3,13
2017-03-13 14:00:00+05:45,pm25,32.1,spring,3,14
2017-03-13 15:00:00+05:45,pm25,31.0,spring,3,15
2017-03-13 16:00:00+05:45,pm25,29.0,spring,3,16
2017-03-13 17:00:00+05:45,pm25,31.5,spring,3,17
2017-03-13 18:00:00+05:45,pm25,47.2,spring,3,18
2017-03-13 19:00:00+05:45,pm25,60.1,spring,3,19
2017-03-13 20:00:00+05:45,pm25,68.5,spring,3,20
2017-03-13 21:00:00+05:45,pm25,70.7,spring,3,21
2017-03-13 22:00:00+05:45,pm25,73.8,spring,3,22
2017-03-13 23:00:00+05:45,pm25,74.9,spring,3,23
2017-03-14 00:00:00+05:45,pm25,76.9,spring,3,0
2017-03-14 01:00:00+05:45,pm25,73.9,spring,3,1
2017-03-14 02:00:00+05:45,pm25,74.0,spring,3,2
2017-03-14 03:00:00+05:45,pm25,73.5,spring,3,3
2017-03-14 04:00:00+05:45,pm25,72.7,spring,3,4
2017-03-14 05:00:00+05:45,pm25,76.8,spring,3,5
2017-03-14 06:00:00+05:45,pm25,91.6,spring,3,6
2017-03-14 07:00:00+05:45,pm25,91.6,spring,3,7
2017-03-14 08:00:00+05:45,pm25,94.5,spring,3,8
2017-03-14 09:00:00+05:45,pm25,97.39999999999999,spring,3,9
2017-03-14 10:00:00+05:45,pm25,100.3,spring,3,10
2017-03-14 11:00:00+05:45,pm25,84.15,spring,3,11
2017-03-14 12:00:00+05:45,pm25,68.0,spring,3,12
2017-03-14 13:00:00+05:45,pm25,57.2,spring,3,13
2017-03-14 14:00:00+05:45,pm25,59.2,spring,3,14
2017-03-14 15:00:00+05:45,pm25,51.8,spring,3,15
2017-03-14 16:00:00+05:45,pm25,48.8,spring,3,16
2017-03-14 17:00:00+05:45,pm25,43.8,spring,3,17
2017-03-14 18:00:00+05:45,pm25,45.4,spring,3,18
2017-03-14 19:00:00+05:45,pm25,46.7,spring,3,19
2017-03-14 20:00:00+05:45,pm25,50.8,spring,3,20
2017-03-14 21:00:00+05:45,pm25,49.9,spring,3,21
2017-03-14 22:00:00+05:45,pm25,49.3,spring,3,22
2017-03-14 23:00:00+05:45,pm25,57.9,spring,3,23
2017-03-15 00:00:00+05:45,pm25,65.9,spring,3,0
2017-03-15 01:00:00+05:45,pm25,75.8,spring,3,1
2017-03-15 02:00:00+05:45,pm25,72.4,spring,3,2
2017-03-15 03:00:00+05:45,pm25,68.2,spring,3,3
2017-03-15 04:00:00+05:45,pm25,61.6,spring,3,4
2017-03-15 05:00:00+05:45,pm25,67.5,spring,3,5
2017-03-15 06:00:00+05:45,pm25,79.3,spring,3,6
2017-03-15 07:00:00+05:45,pm25,100.9,spring,3,7
2017-03-15 08:00:00+05:45,pm25,112.9,spring,3,8
2017-03-15 09:00:00+05:45,pm25,120.5,spring,3,9
2017-03-15 10:00:00+05:45,pm25,119.7,spring,3,10
2017-03-15 11:00:00+05:45,pm25,102.3,spring,3,11
2017-03-15 12:00:00+05:45,pm25,71.6,spring,3,12
2017-03-15 13:00:00+05:45,pm25,55.8,spring,3,13
2017-03-15 14:00:00+05:45,pm25,43.9,spring,3,14
2017-03-15 15:00:00+05:45,pm25,40.9,spring,3,15
2017-03-15 16:00:00+05:45,pm25,39.4,spring,3,16
2017-03-15 17:00:00+05:45,pm25,40.2,spring,3,17
2017-03-15 18:00:00+05:45,pm25,46.1,spring,3,18
2017-03-15 19:00:00+05:45,pm25,58.5,spring,3,19
2017-03-15 20:00:00+05:45,pm25,70.2,spring,3,20
2017-03-15 21:00:00+05:45,pm25,79.6,spring,3,21
2017-03-15 22:00:00+05:45,pm25,91.0,spring,3,22
2017-03-15 23:00:00+05:45,pm25,110.0,spring,3,23
2017-03-16 00:00:00+05:45,pm25,101.0,spring,3,0
2017-03-16 01:00:00+05:45,pm25,88.0,spring,3,1
2017-03-16 02:00:00+05:45,pm25,71.0,spring,3,2
2017-03-16 03:00:00+05:45,pm25,94.0,spring,3,3
2017-03-16 04:00:00+05:45,pm25,81.0,spring,3,4
2017-03-16 05:00:00+05:45,pm25,75.0,spring,3,5
2017-03-16 06:00:00+05:45,pm25,98.0,spring,3,6
2017-03-16 07:00:00+05:45,pm25,237.0,spring,3,7
2017-03-16 08:00:00+05:45,pm25,145.0,spring,3,8
2017-03-16 09:00:00+05:45,pm25,171.0,spring,3,9
2017-03-16 10:00:00+05:45,pm25,146.0,spring,3,10
2017-03-16 11:00:00+05:45,pm25,109.0,spring,3,11
2017-03-16 12:00:00+05:45,pm25,79.0,spring,3,12
2017-03-16 13:00:00+05:45,pm25,42.0,spring,3,13
2017-03-16 14:00:00+05:45,pm25,44.0,spring,3,14
2017-03-16 15:00:00+05:45,pm25,48.0,spring,3,15
2017-03-16 16:00:00+05:45,pm25,56.0,spring,3,16
2017-03-16 17:00:00+05:45,pm25,48.0,spring,3,17
2017-03-16 18:00:00+05:45,pm25,52.0,spring,3,18
2017-03-16 19:00:00+05:45,pm25,67.0,spring,3,19
2017-03-16 20:00:00+05:45,pm25,82.0,spring,3,20
2017-03-16 21:00:00+05:45,pm25,84.0,spring,3,21
2017-03-16 22:00:00+05:45,pm25,68.0,spring,3,22
2017-03-16 23:00:00+05:45,pm25,62.0,spring,3,23
2017-03-17 00:00:00+05:45,pm25,64.0,spring,3,0
2017-03-17 01:00:00+05:45,pm25,69.0,spring,3,1
2017-03-17 02:00:00+05:45,pm25,70.0,spring,3,2
2017-03-17 03:00:00+05:45,pm25,79.0,spring,3,3
2017-03-17 04:00:00+05:45,pm25,78.0,spring,3,4
2017-03-17 05:00:00+05:45,pm25,87.0,spring,3,5
2017-03-17 06:00:00+05:45,pm25,110.0,spring,3,6
2017-03-17 07:00:00+05:45,pm25,134.0,spring,3,7
2017-03-17 08:00:00+05:45,pm25,162.0,spring,3,8
2017-03-17 09:00:00+05:45,pm25,136.0,spring,3,9
